"name","abund1976","abund1996","abund2006","ab_d","ab_d_s","LA_d","LA_ind","LA_ind_s","SLA_d","SLA_ind","SLA_ind_s","LS_d","LS_ind","LS_ind_s","SEED_d","SEED_ind","SEED_ind_s","HEIGHT_d","HEIGHT_ind","HEIGHT_ind_s","DENSITY_d","DENSITY_ind","DENSITY_ind_s","Comp.1_d","Comp.1_ind","Comp.1_ind_s","Comp.2_d","Comp.2_ind","Comp.2_ind_s"
"bunbio",7,89,10,0.000605613292180456,0.0857858070664223,-0.323068556931818,-0.000195654612363468,-0.0508353424583338,-0.0293129656590909,1.77523216363747e-05,-0.0119910841395454,0.000982036939394026,5.94734623909236e-07,0.000452417048751401,0.545063979113636,0.000330097990839989,0.0497620904235334,0.150007910348485,9.08467844392566e-05,0.0489510800993045,-0.0183151837348485,-1.10919187185515e-05,-0.0121671987258646,-0.656006623901515,-0.000397286331193183,-0.0434511851861497,-0.467281720621212,-0.000282992021201161,-0.0735150057828355
"bursim",270,306,294,0.0103225133075879,1.46219567251746,0.512354365068182,0.00528878475161708,1.37414181444091,0.140025469340909,-0.00144541477067278,0.976328081852989,0.0708254519393938,0.000731096670160322,0.556148212276243,0.0159194331136363,0.000164328560164767,0.0247724399935898,0.326099169348485,0.0033661630151931,1.81379359105671,-0.289331430734848,-0.00298662754406393,-3.27615913628983,1.36764772509848,0.0141175618424215,1.54403699757215,-0.371405985621212,-0.00383384322909277,-0.995946832567745
"burtom",1,2,0,-0.000116550116550117,-0.0165094556890242,0.254257524068182,-2.96337440638906e-05,-0.00769949407076578,-0.205984948659091,-2.40075697737869e-05,0.0162162896234159,0.133322853939394,-1.55387941654305e-05,-0.0118204239586232,0.0159194331136363,-1.8554117848061e-06,-0.000279702305286572,-0.247932098651515,2.88965149943491e-05,0.0155703432852368,-0.159469464734848,1.85861847010313e-05,0.020387978721377,0.447572944098485,-5.21646787993572e-05,-0.00570524818178235,0.465786067378788,-5.42874204404182e-05,-0.0141026591869022
"byrcra",6,4,3,-0.000272861466891318,-0.0386511350672678,-0.173067964931818,4.7223578783191e-05,0.0122697173889874,-0.241740010659091,-6.59615339147623e-05,0.0445547528569293,0.156625674939394,-4.27371114168057e-05,-0.0325102945785473,0.624768157113637,-0.000170475155817012,-0.0256990359048996,0.246917923348485,-6.73743867666255e-05,-0.0363034203534171,0.0330899092651515,-9.02896118138985e-06,-0.00990425261576688,-0.309748468901515,8.45184215918071e-05,0.00924377533250935,-0.803302345621212,0.00021919025638344,0.0569407324530735
"calcan",167,206,218,0.0115240480912123,1.63239443212606,-0.056426193931818,-0.000650258172474341,-0.16895127840204,0.261993914340909,-0.00301923046846958,2.03938658422659,0.112699150939394,0.00129875043526437,0.987964741525738,-1.99089721088636,-0.0229431952029148,-3.4586740482333,0.150007910348485,0.0017286983729182,0.931476584917951,0.116736947265152,0.00134528219430492,1.4756974168138,-0.0287803079015152,-0.000331665652336957,-0.0362742549845509,-0.167672584621212,-0.00193226692875271,-0.501959786139209
"capfro",3,6,1,-0.000207503938847222,-0.0293931673781135,0.120594968068182,-2.50239308793028e-05,-0.00650176390188976,-0.363060939659091,-7.53365750208352e-05,0.0508872714433587,0.0132301159393939,-2.74530116882966e-06,-0.00208836177145997,-0.0575449748863637,1.1940808949785e-05,0.00180007037660937,-0.305924045651515,6.34804444607669e-05,0.0342052428241551,0.138930029265152,-2.88285282966788e-05,-0.0316232422595419,0.0510881650984848,-1.06009954864128e-05,-0.00115943031982562,0.406733498378788,-8.43988029747088e-05,-0.0219249237572662
"capind",69,201,281,0.0319011833937207,4.51883867005486,-0.648289144931818,-0.0206811909046283,-5.37342518728816,-0.474422724659091,0.0151346463454983,-10.2229342994371,0.203864603939394,0.00650352211775884,4.94725574183976,-0.0575449748863637,-0.00183575279723694,-0.276738723731403,-0.305924045651515,-0.00975933908487797,-5.25863619949654,0.0592207652651515,0.00188921249344008,2.07235776120738,-1.67535806390152,-0.0534459048466711,-5.8453758073162,0.00177475337878788,5.66167330153376e-05,0.0147077625629211
"casarg",90,44,25,-0.00693585021943231,-0.982471019788201,-0.269164550931818,0.00186688500964385,0.485057508479648,0.100962285340909,0.000700259288936132,-0.47300112205753,-0.246884666060606,0.00171235506527093,1.30259546678521,-0.102315377886364,0.000709644136164435,0.106978462917887,-0.372870835651515,0.00258617626727347,1.39351241094142,-0.0629792627348485,0.000436814733259184,0.47916071157832,-0.761710177901515,0.00528310770454205,0.57781321229702,0.805173544378788,-0.00558456310446071,-1.45074474953909
"cascor",264,175,154,-0.00887868350554918,-1.25767554980268,-0.0528335189318181,0.000469092093080053,0.121880373317863,0.097007390340909,0.000861297916536199,-0.581777189369911,0.0870507129393938,-0.000772895729121292,-0.58794492653412,-0.102315377886364,0.000908425858003688,0.136944698069877,-0.452052081651515,0.00401362736100848,2.16266756881036,0.0410955642651515,-0.000364874508592237,-0.400246410805261,-0.320331667901515,0.00284412349610224,0.311061637459976,1.00043081237879,-0.00888250855231071,-2.30747730913952
"casela",4,3,4,0.000102385177012043,0.0145029759997398,0.239855192068182,2.45576162971583e-05,0.00638060518658899,0.206396544340909,-2.11319467270179e-05,0.0142739049250242,0.501782540939394,5.13750942756324e-05,0.0390812432925605,0.862075075113636,8.82637091631797e-05,0.0133057055734207,0.326099169348485,3.33877211772247e-05,0.0179903452143908,-0.530957137734848,-5.436214053279e-05,-0.0596321505601702,0.811347114098485,8.30699178951834e-05,0.00908535255925211,-0.464727102621212,-4.75811666641665e-05,-0.0123605242565613
"caspra",2,8,16,0.0020412423397498,0.289144283645299,-0.888846392931818,-0.00181435089078632,-0.47140799676812,0.119426228340909,-0.000243777873766091,0.164663589110457,0.010054956939394,2.0524603829052e-05,0.0156131496600885,-0.102315377886364,-0.000208850481349146,-0.0314840951059665,0.0794268353484848,0.000162129419225663,0.0873603863467037,0.0623792852651515,0.000127331238206558,0.139675066017065,-1.94696604690152,-0.00397422952899067,-0.4346612749495,-0.433087986621212,-0.000884037535128214,-0.229653204466133
"cassyl",228,160,178,-0.00127136545046993,-0.180090352462789,-0.644104209931818,0.000818891839009544,0.21276598884902,-0.069917142659091,-8.88902395723455e-05,0.0600423067883313,0.00174073493939386,-2.21311026037122e-06,-0.00168352198158114,-0.102315377886364,0.000130080236496498,0.0196095240518779,-0.151022085651515,0.000192004261955247,0.103457883120382,0.0604869312651515,-7.6900994615463e-05,-0.084355980912306,-1.53572593590152,0.00195246889629578,0.213541420688578,0.0101763493787879,-1.2937859012102e-05,-0.00336096677233206
